"Time","Light","Floor.friction","Object.friction","","","","","",""
3600,0.960318287,0.471487539,0.981716215,same trend,5999940,none,none,gripper , 
4860,0.857286998,0.424797273,0.937844174,same trend,5999880,lighting ,none,none, 
4920,0.855022961,0.442696713,0.947847757,new trend,2710,lighting ,none,none,b
4980,0.8531021,0.437890356,0.934905887,new trend,1102,lighting ,none,none,b
5040,0.851778806,0.456915637,0.944965252,new trend,775,lighting ,none,none,b
5100,0.849955404,0.463977355,0.967158185,same trend,715,lighting ,none,none, 
5160,0.847890517,0.454786862,0.950930044,new trend,628,lighting ,none,none,b
5220,0.845533602,0.45315745,0.956333826,same trend,568,lighting ,none,none, 
5280,0.842991346,0.439355542,0.955002402,new trend,782,lighting ,none,none,b
5340,0.839968061,0.442552151,0.934267213,same trend,722,lighting ,none,none, 
5400,0.834492203,0.44678135,0.941852378,new trend,1477,lighting ,none,none,b
5460,0.830624997,0.438536778,0.942701614,new trend,3371,lighting ,none,none,e
5520,0.82551732,0.438004975,0.953434183,same trend,3311,lighting ,none,none, 
5580,0.819221028,0.443000346,0.955950399,same trend,3251,lighting ,none,none, 
5640,0.816398573,0.450270132,0.954133912,new trend,2182,lighting ,none,none,b
5700,0.812827416,0.456332873,0.958486286,same trend,2122,lighting ,none,none, 
5760,0.80798303,0.459311446,0.963855434,same trend,2062,lighting ,none,none, 
5820,0.803379865,0.447776694,0.942988929,new trend,2288,lighting ,none,none,b
5880,0.803330586,0.448429525,0.930828671,same trend,2228,lighting ,none,none, 
5940,0.804381561,0.446110762,0.954780803,same trend,2168,lighting ,none,none, 
6000,0.805191947,0.44222931,0.946672245,same trend,2108,lighting ,none,none, 
6060,0.803301818,0.436810365,0.952156276,same trend,2048,lighting ,none,none, 
6120,0.795381873,0.456677309,0.957061739,new trend,2432,lighting ,none,none,b
6180,0.794480703,0.442416901,0.915141225,same trend,2372,lighting ,none,gripper , 
6240,0.788628621,0.454648264,0.938147862,same trend,2312,lighting ,none,none, 
6300,0.789301707,0.466208704,0.948326768,same trend,2252,lighting ,none,none, 
6360,0.784592483,0.453969145,0.950026174,same trend,2192,lighting ,none,none, 
6420,0.78115413,0.437416049,0.943825086,same trend,2132,lighting ,none,none, 
6480,0.777825232,0.446510503,0.949441986,same trend,2072,lighting ,none,none, 
6540,0.77583777,0.447852658,0.942585967,same trend,2012,lighting ,none,none, 
6600,0.775066885,0.444050479,0.965075153,same trend,1952,lighting ,none,none, 
6660,0.771083876,0.458789322,0.948118158,new trend,2406,lighting ,none,none,e
6720,0.77006639,0.442462858,0.949258062,same trend,2346,lighting ,none,none, 
6780,0.76802591,0.452745617,0.941989026,same trend,2286,lighting ,none,none, 
6840,0.76800359,0.454230959,0.951571086,same trend,2226,lighting ,none,none, 
6900,0.764811189,0.451065787,0.939122786,same trend,2166,lighting ,none,none, 
6960,0.761626485,0.445536097,0.939795409,same trend,2106,lighting ,none,none, 
7020,0.75894813,0.436140918,0.948257785,same trend,2046,lighting ,none,none, 
7080,0.755695871,0.466043808,0.933581227,same trend,1986,lighting ,none,none, 
7140,0.754915498,0.467159498,0.970523227,new trend,1825,lighting ,none,none,b
7200,0.754195905,0.447297181,0.948635967,same trend,1765,lighting ,none,none, 
7260,0.751556181,0.455183967,0.952201084,same trend,1705,lighting ,none,none, 
7320,0.748966238,0.456568218,0.935702083,new trend,2401,lighting ,none,none,e
7380,0.742456523,0.448415571,0.952541343,same trend,2341,lighting ,none,none, 
7440,0.739101856,0.453624111,0.952360989,same trend,2281,lighting ,none,none, 
7500,0.734885196,0.459426197,0.952549344,same trend,2221,lighting ,none,none, 
7560,0.730492642,0.469547695,0.95044114,same trend,2161,lighting ,none,none, 
7620,0.726366457,0.460405289,0.930731711,same trend,2101,lighting ,none,none, 
7680,0.722401601,0.433410527,0.951258661,same trend,2041,lighting ,none,none, 
7740,0.721049446,0.452215235,0.954543884,new trend,705,lighting ,none,none,b
7800,0.717510821,0.444671971,0.947485821,same trend,645,lighting ,none,none, 
7860,0.715686093,0.450292277,0.957894046,same trend,585,lighting ,none,none, 
7920,0.71068212,0.459156362,0.957523579,new trend,991,lighting ,none,none,b
7980,0.704792592,0.447576328,0.951125068,same trend,931,lighting ,none,none, 
8040,0.703653999,0.452556176,0.958871362,same trend,871,lighting ,none,none, 
8100,0.701375939,0.458037211,0.964236522,same trend,811,lighting ,none,none, 
8160,0.699160222,0.447441403,0.953298892,same trend,751,lighting ,none,none, 
8220,0.693551381,0.453551774,0.943973437,same trend,691,lighting ,none,none, 
8280,0.690110476,0.440517276,0.947129579,same trend,631,lighting ,none,none, 
8340,0.687920939,0.458398056,0.956089138,same trend,571,lighting ,none,none, 
8400,0.686883127,0.444154982,0.941772693,same trend,511,lighting ,none,none, 
8460,0.685297344,0.456756165,0.960118741,new trend,246,lighting ,none,none,b
8520,0.683354089,0.442354631,0.958383307,same trend,186,lighting ,none,none, 
8580,0.675460158,0.433331544,0.954769045,same trend,126,lighting ,none,none, 
