M1,M2,M3,P1,T1,T1F,P2,P3,T2,TR,T2F,P4,T3,R1,R2,R3,r1,r2,r3,V
1.0,0.35,0.5,1.0,6.4,,0.8,0.0,34.0,,,0.0,61.5,0.45097050174782616,102.9485325130435,0.5202161069478262,1.0,1.0,1.0,1.0
0.5,0.4,0.5,0.2,13.0,31.5,1.0,0.0,25.0,,,0.0,68.0,0.19890140012336957,47.77712211195653,0.22944230639836954,1.0,0.0,0.0,1.0
0.7,0.25,0.6,1.0,8.2,,0.666667,0.333333,30.5,1.460885,60.5,1.0,56.25,0.3660370663278522,67.49631430105109,0.2548066975851913,1.0,0.0,0.0,1.0
0.8,0.5,0.7,1.0,6.2,,1.0,0.0,40.400002,,,1.0,60.0,0.5213912378632696,78.2315148996348,0.2080211064845566,1.0,0.0,0.0,1.0
0.7,0.5,0.9,0.0,,810.0,,,,,,,,0.5992818599923436,67.46569870912826,0.021561903920699958,1.0,0.0,0.0,1.0
1.0,0.3,1.0,1.0,5.8,,0.833333,0.166667,41.200001,1.735189,58.0,1.0,56.599998,1.0590789967826089,103.40028076304351,-0.08789238808695657,0.0,1.0,0.0,1.0
0.6,0.4,0.6,1.0,5.8,,0.6,0.0,27.0,,,0.666667,56.666668,0.3068690504980174,57.260587959704345,0.21361850080633044,1.0,0.0,0.0,1.0
0.9,0.45,1.0,1.0,6.2,,1.0,0.0,35.799999,,,1.0,54.799999,0.9227737855897827,89.92892629492935,-0.07658049298108699,0.0,0.0,0.0,0.0
0.7,0.5,1.0,0.2,0.0,829.0,0.0,1.0,,,55.0,,,0.677030124547174,67.45865949146739,-0.056186360634130454,0.0,0.0,0.0,0.0
0.7,0.3,0.9,1.0,7.0,,1.0,0.0,30.799999,,,1.0,53.200001,0.5992818599923436,67.47329706028044,0.021561903920699958,1.0,0.0,0.0,1.0
0.6,0.25,0.6,1.0,9.6,,0.6,0.0,25.4,,,1.0,66.333336,0.3068690504980174,57.00420081957392,0.21361850080633044,1.0,0.0,0.0,1.0
1.0,0.45,1.0,1.0,6.4,,0.333333,0.166667,33.400002,2.779104,57.0,1.0,62.0,1.0590789967826089,102.23758663043479,-0.08789238808695657,0.0,1.0,0.0,1.0
0.5,0.35,1.0,0.0,,37.400002,,,,,,,,0.4671088119619565,47.5530075148098,-0.038765105440217405,1.0,0.0,0.0,1.0
0.9,0.35,0.9,1.0,8.2,,0.8,0.0,30.4,,,1.0,53.5,0.8168049995563957,90.40072365758371,0.029388293052299938,0.0,0.0,0.0,0.0
0.8,0.25,0.6,1.0,8.0,,0.571429,0.428571,28.25,1.665232,57.0,1.0,61.75,0.43004692998059135,78.78240176538263,0.29936541436723485,1.0,0.0,0.0,1.0
0.9,0.5,0.8,1.0,6.4,,1.0,0.0,33.799999,,,0.8,57.0,0.7108362135230089,89.68045535401524,0.13535707908568687,0.0,0.0,0.0,0.0
0.7,0.25,1.0,1.0,6.6,,1.0,0.0,34.799999,,,1.0,60.599998,0.677030124547174,67.4681574304076,-0.056186360634130454,0.0,0.0,0.0,0.0
1.0,0.3,0.5,1.0,7.2,,1.0,0.0,31.6,,,0.0,69.800003,0.45097050174782616,103.33609722391309,0.5202161069478262,1.0,1.0,1.0,1.0
0.7,0.5,0.7,0.2,25.0,58.0,0.0,1.0,,,57.0,,,0.4437853308826826,67.47977714445,0.1770584330303609,1.0,0.0,0.0,1.0
0.6,0.35,0.7,1.0,9.8,,0.833333,0.166667,26.4,1.27011,58.0,0.8,56.599998,0.37204970654786085,57.16382604449566,0.148437844756487,1.0,0.0,0.0,1.0
0.5,0.25,0.6,0.0,,42.599998,,,,,,,,0.252542882491087,47.306061320951095,0.17580082403065217,1.0,0.0,0.0,1.0
0.8,0.3,0.6,1.0,6.8,,0.666667,0.166667,31.4,1.14249,56.0,1.0,54.75,0.43004692998059135,78.67254367316522,0.29936541436723485,1.0,0.0,0.0,1.0
0.9,0.35,0.5,1.0,6.0,,1.0,0.0,38.599998,,,0.0,59.400002,0.3929298554228478,90.38060804224459,0.45326343718584783,1.0,0.0,1.0,1.0
0.6,0.45,0.9,1.0,8.4,,0.8,0.0,35.400002,,,0.75,54.75,0.5024110186475479,57.312151734252176,0.018076532656799964,1.0,0.0,0.0,1.0
1.0,0.5,0.9,1.0,5.6,,0.666667,0.166667,28.0,2.780684,56.0,1.0,54.25,0.9374572977756523,101.83718521173915,0.033729310919999936,0.0,1.0,0.0,1.0
0.6,0.35,0.8,1.0,6.0,,0.571429,0.285714,25.200001,2.74462,57.5,1.0,56.75,0.4372303625977044,57.152526509330436,0.08325718870664342,1.0,0.0,0.0,1.0
0.5,0.35,0.6,0.6,11.333333,31.5,0.666667,0.0,31.666666,,,1.0,52.0,0.252542882491087,47.61051694350545,0.17580082403065217,1.0,0.0,0.0,1.0
0.7,0.25,0.9,1.0,7.2,,0.5,0.166667,30.200001,2.147181,53.0,1.0,57.666668,0.5992818599923436,67.47519664806849,0.021561903920699958,1.0,0.0,0.0,1.0
0.5,0.45,0.7,0.2,12.0,36.75,0.0,0.0,17.0,,,,,0.30618436485880435,47.900595208885875,0.12215934166293481,1.0,0.0,0.0,1.0
0.5,0.5,0.5,,,,,,,,,,,0.19890140012336957,48.08157773451088,0.22944230639836954,1.0,0.0,0.0,1.0
0.9,0.25,1.0,1.0,6.6,,1.0,0.0,30.200001,,,1.0,78.0,0.9227737855897827,90.88257882790762,-0.07658049298108699,0.0,0.0,0.0,0.0
0.7,0.3,0.7,1.0,8.6,,0.666667,0.333333,24.5,1.228669,58.0,1.0,72.0,0.4437853308826826,67.48737549560218,0.1770584330303609,1.0,0.0,0.0,1.0
0.5,0.35,0.5,0.4,12.5,38.333332,0.5,0.0,14.5,,,0.0,54.0,0.19890140012336957,47.624894300679365,0.22944230639836954,1.0,0.0,0.0,1.0
0.7,0.25,0.5,1.0,7.0,,0.8,0.0,31.0,,,0.0,53.5,0.28828880177302174,67.50335351871196,0.3325549621400217,1.0,0.0,0.0,1.0
0.7,0.45,0.7,0.2,11.0,495.5,0.0,1.0,,,60.0,,,0.4437853308826826,67.48167673223806,0.1770584330303609,1.0,0.0,0.0,1.0
0.7,0.4,0.7,0.0,,51.200001,,,,,,,,0.4437853308826826,67.48357632002609,0.1770584330303609,1.0,0.0,0.0,1.0
0.5,0.35,0.9,0.6,12.666667,45.5,0.333333,0.0,18.666666,,,1.0,54.0,0.41346732959423915,47.567384871983705,0.014876376927499971,1.0,0.0,0.0,1.0
0.8,0.3,0.7,1.0,5.6,,0.571429,0.428571,35.5,2.319911,56.333332,1.0,60.0,0.5213912378632696,78.67094726850436,0.2080211064845566,1.0,0.0,0.0,1.0
0.5,0.3,0.8,0.8,12.75,31.0,0.5,0.0,21.5,,,1.0,53.0,0.3598258472265218,47.42953441788045,0.06851785929521734,1.0,0.0,0.0,1.0
0.7,0.3,0.8,1.0,8.8,,0.571429,0.285714,29.200001,1.463934,59.5,1.0,64.0,0.5215335954375132,67.4803362779413,0.09931016847553037,1.0,0.0,0.0,1.0
0.9,0.25,0.6,1.0,8.4,,0.666667,0.166667,19.799999,1.846038,61.0,1.0,79.0,0.4988986414562348,90.86246321256847,0.3472946511524609,1.0,0.0,0.0,1.0
0.9,0.35,0.7,1.0,6.0,,0.833333,0.166667,38.200001,2.948598,60.0,1.0,64.599998,0.6048674274896217,90.39066584991416,0.24132586511907397,0.0,0.0,0.0,0.0
1.0,0.5,0.6,1.0,5.6,,1.0,0.0,39.200001,,,1.0,60.400002,0.5725922007547827,101.7986750882609,0.39859440794086964,1.0,1.0,1.0,1.0
0.7,0.35,0.9,1.0,9.0,,0.6,0.0,21.200001,,,1.0,65.333336,0.5992818599923436,67.4713974724924,0.021561903920699958,1.0,0.0,0.0,1.0
1.0,0.25,0.9,1.0,5.2,,0.666667,0.166667,34.599998,2.228461,57.0,1.0,65.75,0.9374572977756523,103.77500876608698,0.033729310919999936,0.0,1.0,0.0,1.0
0.7,0.45,1.0,0.0,,72.599998,,,,,,,,0.677030124547174,67.46055907925543,-0.056186360634130454,0.0,0.0,0.0,0.0
0.8,0.45,1.0,1.0,6.8,,0.8,0.0,31.200001,,,0.75,57.75,0.7954241615113046,78.33658377786956,-0.06601181716347829,0.0,0.0,0.0,0.0
0.8,0.45,0.5,1.0,7.4,,1.0,0.0,32.0,,,0.0,55.200001,0.3387026220979131,78.34456580117391,0.39070972224991307,1.0,0.0,1.0,1.0
0.9,0.35,0.8,1.0,6.2,,1.0,0.0,31.6,,,1.0,64.0,0.7108362135230089,90.39569475374893,0.13535707908568687,0.0,0.0,0.0,0.0
0.8,0.35,0.6,1.0,6.4,,0.8,0.0,32.799999,,,0.5,54.5,0.43004692998059135,78.56268558094784,0.29936541436723485,1.0,0.0,0.0,1.0
0.5,0.45,0.6,0.0,,34.0,,,,,,,,0.252542882491087,47.914972566059795,0.17580082403065217,1.0,0.0,0.0,1.0
0.7,0.35,1.0,1.0,7.6,,0.8,0.0,28.200001,,,1.0,59.0,0.677030124547174,67.46435825483152,-0.056186360634130454,0.0,0.0,0.0,0.0
0.8,0.35,0.9,1.0,9.2,,0.6,0.2,31.0,,56.0,1.0,58.0,0.7040798536286262,78.55789636696524,0.02533249071919995,0.0,0.0,0.0,0.0
0.6,0.4,0.5,1.0,8.0,,0.8,0.0,32.0,,,0.0,64.5,0.24168839444817392,57.27188749486956,0.2787991568561739,1.0,0.0,0.0,1.0
0.6,0.25,0.7,1.0,8.4,,0.666667,0.166667,29.6,1.25186,58.0,1.0,56.0,0.37204970654786085,56.9929012844087,0.148437844756487,1.0,0.0,0.0,1.0
0.8,0.4,0.8,1.0,8.4,,1.0,0.0,25.200001,,,1.0,56.599998,0.612735545745948,78.44963467940869,0.1166767986018782,0.0,0.0,0.0,0.0
0.9,0.25,0.7,1.0,6.4,,0.8,0.0,30.0,,,1.0,67.25,0.6048674274896217,90.86749211640327,0.24132586511907397,0.0,0.0,0.0,0.0
1.0,0.45,0.5,1.0,6.25,,1.0,0.0,36.0,,,0.0,59.75,0.45097050174782616,102.17340309130437,0.5202161069478262,1.0,1.0,1.0,1.0
1.0,0.3,0.7,1.0,6.2,,1.0,0.0,31.799999,,,0.8,58.0,0.6942138997617392,103.36177063956525,0.2769727089339131,0.0,1.0,0.0,1.0
1.0,0.3,0.9,1.0,6.4,,0.5,0.375,37.799999,1.844246,57.0,1.0,71.5,0.9374572977756523,103.38744405521743,0.033729310919999936,0.0,1.0,0.0,1.0
0.8,0.35,0.5,1.0,7.8,,0.666667,0.166667,30.799999,1.840082,57.0,0.0,72.25,0.3387026220979131,78.56428198560872,0.39070972224991307,1.0,0.0,1.0,1.0
0.8,0.25,1.0,1.0,7.2,,1.0,0.0,27.4,,,1.0,56.200001,0.7954241615113046,78.77601614673915,-0.06601181716347829,0.0,0.0,0.0,0.0
0.8,0.5,1.0,1.0,9.0,,0.8,0.2,28.25,,62.0,1.0,63.0,0.7954241615113046,78.2267256856522,-0.06601181716347829,0.0,0.0,0.0,0.0
1.0,0.4,0.7,1.0,6.2,,1.0,0.0,40.0,,,1.0,54.599998,0.6942138997617392,102.58664121782613,0.2769727089339131,0.0,1.0,0.0,1.0
0.7,0.4,0.5,0.75,3.0,106.0,1.0,0.0,64.666664,,,0.0,56.333332,0.28828880177302174,67.49765475534782,0.3325549621400217,1.0,0.0,0.0,1.0
0.9,0.3,0.7,1.0,5.4,,0.714286,0.285714,38.200001,1.919863,57.5,1.0,62.200001,0.6048674274896217,90.6290789831587,0.24132586511907397,0.0,0.0,0.0,0.0
0.8,0.3,0.9,1.0,7.4,,0.833333,0.166667,32.799999,1.921552,57.0,0.8,61.200001,0.7040798536286262,78.66775445918262,0.02533249071919995,0.0,0.0,0.0,0.0
1.0,0.3,0.8,1.0,5.6,,0.8,0.0,36.599998,,,1.0,59.5,0.8158355987686959,103.37460734739133,0.15535100992695644,0.0,1.0,0.0,1.0
0.7,0.5,0.8,0.0,,302.200012,,,,,,,,0.5215335954375132,67.47273792678914,0.09931016847553037,1.0,0.0,0.0,1.0
0.9,0.5,0.6,1.0,4.8,,0.8,0.0,31.799999,,,1.0,54.75,0.4988986414562348,89.67039754634567,0.3472946511524609,1.0,0.0,0.0,1.0
0.9,0.4,0.8,1.0,5.6,,1.0,0.0,34.200001,,,1.0,60.400002,0.7108362135230089,90.15728162050436,0.13535707908568687,0.0,0.0,0.0,0.0
0.6,0.25,0.5,1.0,6.2,,1.0,0.0,36.599998,,,0.0,55.599998,0.24168839444817392,57.01550035473913,0.2787991568561739,1.0,0.0,0.0,1.0
1.0,0.25,0.8,1.0,7.6,,0.833333,0.166667,32.799999,1.760087,61.0,1.0,60.200001,0.8158355987686959,103.76217205826089,0.15535100992695644,0.0,1.0,0.0,1.0
0.5,0.45,0.9,0.2,13.0,32.5,0.0,0.0,36.0,,,,,0.41346732959423915,47.87184049453805,0.014876376927499971,1.0,0.0,0.0,1.0
0.9,0.4,1.0,1.0,5.0,,0.8,0.0,37.200001,,,1.0,54.0,0.9227737855897827,90.16733942817393,-0.07658049298108699,0.0,0.0,0.0,0.0
0.9,0.3,0.5,1.0,6.4,,0.6,0.0,31.6,,,0.0,74.666664,0.3929298554228478,90.61902117548914,0.45326343718584783,1.0,0.0,1.0,1.0
0.9,0.5,0.5,1.0,4.2,,0.6,0.0,39.599998,,,0.0,55.0,0.3929298554228478,89.66536864251088,0.45326343718584783,1.0,0.0,1.0,1.0
0.6,0.5,0.6,,,,,,,,,,,0.3068690504980174,57.431512719791314,0.21361850080633044,1.0,0.0,0.0,1.0
0.6,0.5,0.5,1.0,6.4,,1.0,0.0,36.200001,,,0.0,58.200001,0.24168839444817392,57.442812254956536,0.2787991568561739,1.0,0.0,0.0,1.0
0.6,0.25,0.9,,,,,,,,,,,0.5024110186475479,56.970302214078266,0.018076532656799964,1.0,0.0,0.0,1.0
1.0,0.45,0.9,1.0,5.2,,0.8,0.0,39.599998,,,1.0,55.75,0.9374572977756523,102.22474992260871,0.033729310919999936,0.0,1.0,0.0,1.0
0.6,0.45,0.8,1.0,6.0,,0.8,0.0,35.200001,,,1.0,52.5,0.4372303625977044,57.32345126941739,0.08325718870664342,1.0,0.0,0.0,1.0
0.7,0.3,1.0,1.0,7.0,,1.0,0.0,34.0,,,1.0,58.799999,0.677030124547174,67.46625784261956,-0.056186360634130454,0.0,0.0,0.0,0.0
0.7,0.25,0.7,1.0,8.2,,0.8,0.0,30.4,,,1.0,59.75,0.4437853308826826,67.48927508339023,0.1770584330303609,1.0,0.0,0.0,1.0
0.6,0.5,0.8,1.0,7.6,,1.0,0.0,33.200001,,,0.8,54.200001,0.4372303625977044,57.40891364946088,0.08325718870664342,1.0,0.0,0.0,1.0
1.0,0.35,0.8,1.0,6.8,,0.833333,0.166667,39.200001,2.221882,56.0,0.8,176.199997,0.8158355987686959,102.98704263652175,0.15535100992695644,0.0,1.0,0.0,1.0
0.6,0.4,0.8,1.0,10.2,,0.833333,0.166667,28.6,1.33574,62.0,0.8,53.0,0.4372303625977044,57.23798888937391,0.08325718870664342,1.0,0.0,0.0,1.0
0.8,0.35,0.7,1.0,7.2,,0.5,0.166667,29.6,1.689974,62.0,1.0,57.666668,0.5213912378632696,78.56108917628697,0.2080211064845566,1.0,0.0,0.0,1.0
0.7,0.5,0.5,0.2,3.0,1855.25,0.0,1.0,,,57.0,,,0.28828880177302174,67.49385557977173,0.3325549621400217,1.0,0.0,0.0,1.0
0.5,0.4,0.7,0.4,12.0,33.0,0.5,0.0,19.0,,,1.0,113.0,0.30618436485880435,47.7483673976087,0.12215934166293481,1.0,0.0,0.0,1.0
0.7,0.35,0.6,1.0,7.0,,0.666667,0.166667,33.799999,1.52208,59.0,0.75,55.25,0.3660370663278522,67.49251512547501,0.2548066975851913,1.0,0.0,0.0,1.0
0.7,0.4,0.8,0.0,,62.200001,,,,,,,,0.5215335954375132,67.47653710236521,0.09931016847553037,1.0,0.0,0.0,1.0
0.9,0.4,0.5,1.0,4.4,,0.666667,0.166667,38.400002,2.261732,63.0,0.0,70.75,0.3929298554228478,90.14219490900001,0.45326343718584783,1.0,0.0,1.0,1.0
0.7,0.45,0.6,0.0,,192.800003,,,,,,,,0.3660370663278522,67.48871594989892,0.2548066975851913,1.0,0.0,0.0,1.0
0.5,0.5,0.8,0.4,10.0,34.333332,1.0,0.0,25.0,,,1.0,65.5,0.3598258472265218,48.03844566298915,0.06851785929521734,1.0,0.0,0.0,1.0
0.6,0.3,0.6,1.0,7.6,,0.833333,0.166667,28.4,1.348203,60.0,1.0,67.199997,0.3068690504980174,57.08966319961739,0.21361850080633044,1.0,0.0,0.0,1.0
0.8,0.45,0.8,1.0,6.6,,1.0,0.0,34.599998,,,1.0,55.200001,0.612735545745948,78.33977658719131,0.1166767986018782,0.0,0.0,0.0,0.0
0.9,0.3,0.8,1.0,6.4,,0.666667,0.166667,30.6,2.781245,59.0,1.0,61.75,0.7108362135230089,90.63410788699349,0.13535707908568687,0.0,0.0,0.0,0.0
0.9,0.25,0.9,1.0,6.8,,0.833333,0.166667,29.0,1.454633,62.0,0.8,69.0,0.8168049995563957,90.87754992407282,0.029388293052299938,0.0,0.0,0.0,0.0
0.6,0.25,0.8,1.0,5.8,,0.8,0.0,26.0,,,0.5,60.25,0.4372303625977044,56.98160174924348,0.08325718870664342,1.0,0.0,0.0,1.0
0.7,0.5,0.6,0.0,,78.199997,,,,,,,,0.3660370663278522,67.48681636211087,0.2548066975851913,1.0,0.0,0.0,1.0
1.0,0.4,0.8,1.0,6.2,,1.0,0.0,34.0,,,1.0,57.599998,0.8158355987686959,102.59947792565221,0.15535100992695644,0.0,1.0,0.0,1.0
0.7,0.4,1.0,0.0,,390.799988,,,,,,,,0.677030124547174,67.46245866704346,-0.056186360634130454,0.0,0.0,0.0,0.0
1.0,0.35,0.6,1.0,5.8,,1.0,0.0,41.599998,,,1.0,55.400002,0.5725922007547827,102.96136922086959,0.39859440794086964,1.0,1.0,1.0,1.0
0.8,0.35,0.8,1.0,6.8,,0.6,0.0,31.799999,,,1.0,54.666668,0.612735545745948,78.55949277162611,0.1166767986018782,0.0,0.0,0.0,0.0
0.9,0.5,1.0,1.0,4.6,,1.0,0.0,39.0,,,1.0,53.599998,0.9227737855897827,89.6905131616848,-0.07658049298108699,0.0,0.0,0.0,0.0
0.6,0.3,0.9,1.0,5.5,,1.0,0.0,35.0,,,1.0,56.0,0.5024110186475479,57.05576459412174,0.018076532656799964,1.0,0.0,0.0,1.0
0.9,0.4,0.7,1.0,6.4,,1.0,0.0,31.799999,,,1.0,54.400002,0.6048674274896217,90.15225271666958,0.24132586511907397,0.0,0.0,0.0,0.0
1.0,0.45,0.8,1.0,5.8,,1.0,0.0,40.799999,,,1.0,55.799999,0.8158355987686959,102.21191321478261,0.15535100992695644,0.0,1.0,0.0,1.0
0.5,0.25,0.7,0.2,12.0,66.5,1.0,0.0,23.0,,,1.0,57.0,0.30618436485880435,47.29168396377718,0.12215934166293481,1.0,0.0,0.0,1.0
1.0,0.5,0.8,1.0,7.0,,1.0,0.0,33.599998,,,1.0,55.400002,0.8158355987686959,101.82434850391307,0.15535100992695644,0.0,1.0,0.0,1.0
0.6,0.45,1.0,1.0,8.8,,0.5,0.333333,31.5,1.10519,62.0,1.0,54.0,0.5675916746973914,57.300852199086954,-0.04710412339304349,1.0,0.0,0.0,1.0
0.8,0.25,0.9,1.0,7.2,,0.8,0.0,29.4,,,0.5,73.0,0.7040798536286262,78.77761255140001,0.02533249071919995,0.0,0.0,0.0,0.0
0.5,0.5,0.7,0.333333,13.0,36.0,1.0,0.0,23.0,,,1.0,54.0,0.30618436485880435,48.05282302016305,0.12215934166293481,1.0,0.0,0.0,1.0
0.8,0.3,1.0,1.0,6.4,,0.8,0.0,32.400002,,,1.0,62.75,0.7954241615113046,78.66615805452174,-0.06601181716347829,0.0,0.0,0.0,0.0
0.6,0.4,0.9,1.0,6.2,,1.0,0.0,36.200001,,,1.0,63.200001,0.5024110186475479,57.226689354208695,0.018076532656799964,1.0,0.0,0.0,1.0
0.7,0.4,0.6,0.0,,52.0,,,,,,,,0.3660370663278522,67.49061553768695,0.2548066975851913,1.0,0.0,0.0,1.0
0.6,0.5,1.0,1.0,5.8,,1.0,0.0,33.599998,,,1.0,52.200001,0.5675916746973914,57.38631457913044,-0.04710412339304349,1.0,0.0,0.0,1.0
0.7,0.45,0.5,0.0,,53.200001,,,,,,,,0.28828880177302174,67.49575516755979,0.3325549621400217,1.0,0.0,0.0,1.0
0.9,0.25,0.8,1.0,6.0,,1.0,0.0,28.6,,,1.0,86.599998,0.7108362135230089,90.87252102023804,0.13535707908568687,0.0,0.0,0.0,0.0
0.5,0.4,0.8,0.0,,40.0,,,,,,,,0.3598258472265218,47.73399004043479,0.06851785929521734,1.0,0.0,0.0,1.0
0.8,0.4,0.5,1.0,5.2,,1.0,0.0,40.200001,,,0.0,55.200001,0.3387026220979131,78.4544238933913,0.39070972224991307,1.0,0.0,1.0,1.0
1.0,0.4,0.6,1.0,6.4,,0.8,0.0,34.799999,,,1.0,66.5,0.5725922007547827,102.57380451000003,0.39859440794086964,1.0,1.0,1.0,1.0
1.0,0.25,0.5,1.0,6.4,,0.833333,0.166667,36.400002,2.771937,57.0,0.0,65.800003,0.45097050174782616,103.72366193478263,0.5202161069478262,1.0,1.0,1.0,1.0
