Time,M1,M2,M3,state,p1,p2,p3,p4,T1,T1F,T2,T2F,TR,T3,Pretry,R1,R2,R3,r1,r2,r3,V
0,0.96205567326902,0.4338207246306272,0.9538962935517922,0,0.9841864228776638,0.7793427586531876,0.46175983889065625,0.8888312560399997,0.0,0.0,32.48137568566949,12.600652861857146,-0.5844090298267004,49.30230652273944,0.6,0.9430190727965577,83.80898480911819,0.11794617385552383,0.0,0.0,0.0,0.0
5,0.96205567326902,0.4338207246306272,0.9538962935517922,0,0.9841864228776638,0.7793427586531876,0.46175983889065625,0.8888312560399997,0.0,0.0,32.48137568566949,12.600652861857146,-0.5844090298267004,49.30230652273944,0.6,0.9430190727965577,83.80898480911819,0.11794617385552383,0.0,0.0,0.0,0.0
10,0.96205567326902,0.4338207246306272,0.9538962935517922,0,0.9841864228776638,0.7793427586531876,0.46175983889065625,0.8888312560399997,0.0,0.0,32.48137568566949,12.600652861857146,-0.5844090298267004,49.30230652273944,0.6,0.9430190727965577,83.80898480911819,0.11794617385552383,0.0,0.0,0.0,0.0
15,0.96205567326902,0.4338207246306272,0.9538962935517922,0,0.9841864228776638,0.7793427586531876,0.46175983889065625,0.8888312560399997,0.0,0.0,32.48137568566949,12.600652861857146,-0.5844090298267004,49.30230652273944,0.6,0.9430190727965577,83.80898480911819,0.11794617385552383,0.0,0.0,0.0,0.0
20,0.9620556732690201,0.4338207246306272,0.9538962935517923,0,0.9841864228776638,0.7793427586531876,0.46175983889065625,0.8888312560399997,0.0,0.0,32.48137568566949,12.600652861857146,-0.5844090298267004,49.30230652273944,0.6,0.9430190727965577,83.80898480911819,0.11794617385552383,0.0,0.0,0.0,0.0
25,0.9620556732690201,0.4338207246306272,0.9538962935517922,0,0.9841864228776638,0.7793427586531876,0.46175983889065625,0.8888312560399997,0.0,0.0,32.48137568566949,12.600652861857146,-0.5844090298267004,49.30230652273944,0.6,0.9430190727965577,83.80898480911819,0.11794617385552383,0.0,0.0,0.0,0.0
30,0.9620556732690202,0.43382072463062726,0.9538962935517922,0,0.9841864228776638,0.7793427586531876,0.4617598388906563,0.8888312560399997,0.0,0.0,32.48137568566949,12.600652861857146,-0.5844090298267004,49.30230652273944,0.6,0.9430190727965577,83.80898480911819,0.11794617385552383,0.0,0.0,0.0,0.0
35,0.9620556732690202,0.43382072463062726,0.9538962935517922,0,0.9841864228776638,0.7793427586531876,0.4617598388906563,0.8888312560399997,0.0,0.0,32.48137568566949,12.600652861857146,-0.5844090298267004,49.30230652273944,0.6,0.9430190727965577,83.80898480911819,0.11794617385552383,0.0,0.0,0.0,0.0
40,0.9620556732690202,0.43382072463062726,0.9538962935517922,0,0.9841864228776638,0.7793427586531876,0.4617598388906563,0.8888312560399997,0.0,0.0,32.48137568566949,12.600652861857146,-0.5844090298267004,49.30230652273944,0.6,0.9430190727965577,83.80898480911819,0.11794617385552383,0.0,0.0,0.0,0.0
45,0.9620556732690202,0.43382072463062726,0.9538962935517923,0,0.9841864228776638,0.7793427586531876,0.4617598388906563,0.8888312560399997,0.0,0.0,32.48137568566949,12.600652861857146,-0.5844090298267004,49.30230652273944,0.6,0.9430190727965577,83.80898480911819,0.11794617385552383,0.0,0.0,0.0,0.0
