"time","m1","m2","m3","trend","time2problem","light","floor","gripper","edgeORboundary"
6180,0.961664419,0.460678748,0.671527052,same trend,-651,none,none,gripper , 
6240,0.937086788,0.440416554,0.66885891,same trend,-711,none,none,gripper , 
6300,0.964708701,0.444669075,0.666923518,same trend,-771,none,none,gripper , 
6360,0.949285713,0.434744609,0.663493671,same trend,-831,none,none,gripper , 
6420,0.962941223,0.457963415,0.661140244,new trend,408,none,none,gripper ,b
6480,0.932468192,0.459683721,0.659258131,same trend,348,none,none,gripper , 
6540,0.943396735,0.458106798,0.657058748,same trend,288,none,none,gripper , 
6600,0.959610103,0.465261306,0.654666414,same trend,228,none,none,gripper , 
6660,0.95328077,0.448199644,0.650510769,same trend,168,none,none,gripper , 
6720,0.948295472,0.44459126,0.647853204,same trend,108,none,none,gripper , 
6780,0.965664429,0.460132835,0.644684192,same trend,48,none,none,gripper , 
6840,0.958513241,0.438683393,0.642276688,same trend,-12,none,none,gripper , 
6900,0.947263722,0.438724435,0.639066879,same trend,-72,none,none,gripper , 
6960,0.956795203,0.44896013,0.638085408,same trend,-132,none,none,gripper , 
7020,0.946369241,0.466829997,0.637567432,same trend,-192,none,none,gripper , 
7080,0.951565139,0.450180045,0.633235881,same trend,-252,none,none,gripper , 
7140,0.937601256,0.431694436,0.631692625,same trend,-312,none,none,gripper , 
7200,0.949626531,0.467100407,0.631020412,same trend,-372,none,none,gripper , 
7260,0.93521484,0.4487334,0.628112069,same trend,-432,none,none,gripper , 
7320,0.953961237,0.441221892,0.624739563,same trend,-492,none,none,gripper , 
7380,0.945616767,0.422662111,0.622647161,same trend,-552,none,none,gripper , 
7440,0.955989674,0.433501759,0.619500283,same trend,-612,none,none,gripper , 
7500,0.938353884,0.453515417,0.61564123,same trend,-672,none,none,gripper , 
7560,0.971852301,0.437092599,0.61082634,same trend,-732,none,none,gripper , 
7620,0.953299954,0.432112623,0.606308329,same trend,-792,none,none,gripper , 
7680,0.93854253,0.445567707,0.602576708,same trend,-852,none,none,gripper , 
7740,0.963349582,0.443473848,0.597436149,same trend,-912,none,none,gripper , 
7800,0.952250473,0.454447362,0.594558952,same trend,-972,none,none,gripper , 
7860,0.942345827,0.454623498,0.589148606,same trend,-1032,none,none,gripper , 
7920,0.961518455,0.450747805,0.585190941,same trend,-1092,none,none,gripper , 
7980,0.950850803,0.435278632,0.583979921,same trend,-1152,none,none,gripper , 
8040,0.937514297,0.45327567,0.582177988,same trend,-1212,none,none,gripper , 
8100,0.958916403,0.455501002,0.579431068,same trend,-1272,none,none,gripper , 
8160,0.942451586,0.430295797,0.575649259,same trend,-1332,none,none,gripper , 
8220,0.957562023,0.445249104,0.574044145,same trend,-1392,none,none,gripper , 
8280,0.942525808,0.466611235,0.570792415,same trend,-1452,none,none,gripper , 
8340,0.957893341,0.450495062,0.566519315,same trend,-1512,none,none,gripper , 
8400,0.950339729,0.457831528,0.560372168,same trend,-1572,none,none,gripper , 
8460,0.963929169,0.447919739,0.556180624,same trend,-1632,none,none,gripper , 
8520,0.952870884,0.451223525,0.551603353,same trend,-1692,none,none,gripper , 
8580,0.975226477,0.463601638,0.548156677,same trend,-1752,none,none,gripper , 
8640,0.969013558,0.459103339,0.543147951,same trend,-1812,none,none,gripper , 
8700,0.943770143,0.435407393,0.538944341,same trend,-1872,none,none,gripper , 
8760,0.94864747,0.437303044,0.534374582,same trend,-1932,none,none,gripper , 
8820,0.95126986,0.456866111,0.532289075,same trend,-1992,none,none,gripper , 
8880,0.936244922,0.445151395,0.527385078,same trend,-2052,none,none,gripper , 
8940,0.955453313,0.448039224,0.523434266,same trend,-2112,none,none,gripper , 
9000,0.975092431,0.451340977,0.520063966,same trend,-2172,none,none,gripper , 
9060,0.965395993,0.455107114,0.518200023,same trend,-2232,none,none,gripper , 
9120,0.946737995,0.466560016,0.515019891,same trend,-2292,none,none,gripper , 
9180,0.957286555,0.450024485,0.51302291,same trend,-2352,none,none,gripper , 
9240,0.933209701,0.446430201,0.509962756,same trend,-2412,none,none,gripper , 
9300,0.96955753,0.453771574,0.508409374,same trend,-2472,none,none,gripper , 
9360,0.947604158,0.420713648,0.504104911,same trend,-2532,none,none,gripper , 
9420,0.936238763,0.471904722,0.501314099,same trend,-2592,none,none,gripper , 
9480,0.957361026,0.44247057,0.499019321,same trend,-2652,none,none,gripper , 
9540,0.949986812,0.441573393,0.49576445,same trend,-2712,none,none,gripper , 
9600,0.953623405,0.458477971,0.491814511,same trend,-2772,none,none,gripper , 
9660,0.956355346,0.443882889,0.48854613,same trend,-2832,none,none,gripper , 
9720,0.955683961,0.455551073,0.485949682,same trend,-2892,none,none,gripper , 
9780,0.938953125,0.456415386,0.483296807,same trend,-2952,none,none,gripper , 
9840,0.95529566,0.445201897,0.480205039,same trend,-3012,none,none,gripper , 
9900,0.94241352,0.440601075,0.475898774,same trend,-3072,none,none,gripper , 
9960,0.956210087,0.443628727,0.47343824,same trend,-3132,none,none,gripper , 
10020,0.958525785,0.456053934,0.469961088,same trend,-3192,none,none,gripper , 
10080,0.94751117,0.448996913,0.468718651,same trend,-3252,none,none,gripper , 
10140,0.959081499,0.44175667,0.466441937,same trend,-3312,none,none,gripper , 
10200,0.952292326,0.451363881,0.462149809,same trend,-3372,none,none,gripper , 
10260,0.956901039,0.447832512,0.459469861,same trend,-3432,none,none,gripper , 
10320,0.939964932,0.439226177,0.457333983,same trend,-3492,none,none,gripper , 
10380,0.948163977,0.446648747,0.455001366,same trend,-3552,none,none,gripper , 
10440,0.950502282,0.44219846,0.450804253,same trend,-3612,none,none,gripper , 
10500,0.958857588,0.448332277,0.448228039,same trend,-3672,none,none,gripper , 
10560,0.931317059,0.451639281,0.44495864,same trend,-3732,none,none,gripper , 
10620,0.959185606,0.452091431,0.441386831,same trend,-3792,none,none,gripper , 
10680,0.954540835,0.450814407,0.436850339,same trend,-3852,none,none,gripper , 
10740,0.954118575,0.462881176,0.433780872,same trend,-3912,none,none,gripper , 
10800,0.937374639,0.436084328,0.431468443,same trend,-3972,none,none,gripper , 
10860,0.937365166,0.458986555,0.429305781,same trend,-4032,none,none,gripper , 
10920,0.953852568,0.441145458,0.425572924,same trend,-4092,none,none,gripper , 
10980,0.957600717,0.453339991,0.423878831,same trend,-4152,none,none,gripper , 
11040,0.940074844,0.455275983,0.42175976,same trend,-4212,none,none,gripper , 
11100,0.950771062,0.452727258,0.419696176,same trend,-4272,none,none,gripper , 
11160,0.939078275,0.443205651,0.416548095,same trend,-4332,none,none,gripper , 
11220,0.949591703,0.428838178,0.414529829,same trend,-4392,none,none,gripper , 
11280,0.953868082,0.458538591,0.412744495,same trend,-4452,none,none,gripper , 
11340,0.95279098,0.437448606,0.410064669,same trend,-4512,none,none,gripper , 
11400,0.95493936,0.452545491,0.407632046,same trend,-4572,none,none,gripper , 
11460,0.960898823,0.450982476,0.405136401,same trend,-4632,none,none,gripper , 
11520,0.956600512,0.456747819,0.403025389,same trend,-4692,none,none,gripper , 
11580,0.925317775,0.450728658,0.400631378,same trend,-4752,none,none,gripper , 
11640,0.953463231,0.449723427,0.4,same trend,-4812,none,none,gripper , 
11700,0.938091374,0.470580921,0.400872302,same trend,-4872,none,none,gripper , 
11760,0.938477759,0.460090975,0.386341309,same trend,-4932,none,none,gripper , 
11820,0.960013849,0.443229685,0.392150042,same trend,-4992,none,none,gripper , 
11880,0.951848284,0.45066506,0.40705383,same trend,-5052,none,none,gripper , 
11940,0.949840519,0.442436397,0.381853527,same trend,-5112,none,none,gripper , 
12000,0.967090807,0.44135345,0.396930713,same trend,-5172,none,none,gripper , 
12060,0.97693078,0.463610354,0.396792776,same trend,-5232,none,none,gripper , 
12120,0.949625969,0.450040661,0.40496849,new trend,0,none,none,gripper ,e
12180,0.96066288,0.45917956,0.404526089,new trend,0,none,none,gripper ,e
12240,0.962642193,0.439085245,0.3971224,same trend,-60,none,none,gripper , 
12300,0.961583045,0.446599172,0.41019254,same trend,-120,none,none,gripper , 
12360,0.94147616,0.451120926,0.396020774,same trend,-180,none,none,gripper , 
12420,0.942276711,0.460556233,0.389433879,same trend,-240,none,none,gripper , 
12480,0.942102628,0.455527687,0.405461426,same trend,-300,none,none,gripper , 
12540,0.930691542,0.452020017,0.412016067,same trend,-360,none,none,gripper , 
12600,0.944770612,0.4419726,0.390481884,new trend,0,none,none,gripper ,e
12660,0.963963265,0.453685536,0.3994923,new trend,0,none,none,gripper ,e
