M1,M2,M3,p1,T1,T1F,p2,p3,T2,TR,T2F,p4,T3,Pretry,violation
0.50,0.45,0.90,0.20,13.00,32.50,0.00,0.00,36.00,NoData,NoData,NoData,NoData,
0.90,0.35,0.70,1.00,6.00,NoData,0.83,0.17,38.20,17.00,60.00,1.00,64.60,
0.90,0.25,0.60,1.00,8.40,NoData,0.67,0.17,19.80,31.00,61.00,1.00,79.00,
0.90,0.30,0.70,1.00,5.40,NoData,0.71,0.29,38.20,21.50,57.50,1.00,62.20,
0.50,0.45,1.00,0.20,12.00,32.25,0.00,0.00,25.00,NoData,NoData,NoData,NoData,
0.60,0.40,0.50,1.00,8.00,NoData,0.80,0.00,32.00,NoData,NoData,0.00,64.50,
0.90,0.50,0.50,1.00,4.20,NoData,0.60,0.00,39.60,NoData,NoData,0.00,55.00,
1.00,0.50,0.60,1.00,5.60,NoData,1.00,0.00,39.20,NoData,NoData,1.00,60.40,
1.00,0.30,0.50,1.00,7.20,NoData,1.00,0.00,31.60,NoData,NoData,0.00,69.80,
0.80,0.25,0.90,1.00,7.20,NoData,0.80,0.00,29.40,NoData,NoData,0.50,73.00,
0.70,0.50,0.80,0.00,NoData,302.20,NoData,NoData,NoData,NoData,NoData,NoData,NoData,
0.60,0.50,0.50,1.00,6.40,NoData,1.00,0.00,36.20,NoData,NoData,0.00,58.20,
0.90,0.45,0.80,1.00,6.60,NoData,1.00,0.00,32.40,NoData,NoData,0.80,65.40,
0.50,0.25,0.90,0.20,12.00,37.00,0.00,0.00,22.00,NoData,NoData,NoData,NoData,
0.60,0.45,0.80,1.00,6.00,NoData,0.80,0.00,35.20,NoData,NoData,1.00,52.50,
0.50,0.25,0.50,0.60,9.67,77.50,0.67,0.00,26.00,NoData,NoData,0.00,58.50,
0.50,0.45,0.70,0.20,12.00,36.75,0.00,0.00,17.00,NoData,NoData,NoData,NoData,
0.60,0.45,0.90,1.00,8.40,NoData,0.80,0.00,35.40,NoData,NoData,0.75,54.75,
0.70,0.25,1.00,1.00,6.60,NoData,1.00,0.00,34.80,NoData,NoData,1.00,60.60,
0.80,0.30,0.80,1.00,6.80,NoData,0.57,0.29,29.80,26.00,55.50,0.75,550.00,
0.50,0.40,0.60,0.40,12.50,30.33,0.50,0.00,22.50,NoData,NoData,1.00,55.00,
0.70,0.25,0.50,1.00,7.00,NoData,0.80,0.00,31.00,NoData,NoData,0.00,53.50,
