M1,M2,M3,P1,T1,T1F,P2,P3,T2,TR,T2F,P4,T3
0.9,0.45,0.6,1,6.4,NA,1,0,31.200001,NA,NA,1,57.599998
1,0.35,0.5,1,6.4,NA,0.8,0,34,NA,NA,0,61.5
0.5,0.4,0.5,0.2,13,31.5,1,0,25,NA,NA,0,68
0.7,0.25,0.6,1,8.2,NA,0.666667,0.333333,30.5,1.460885,60.5,1,56.25
0.8,0.5,0.7,1,6.2,NA,1,0,40.400002,NA,NA,1,60
0.7,0.5,0.9,0,NA,810,NA,NA,NA,NA,NA,NA,NA
1,0.3,1,1,5.8,NA,0.833333,0.166667,41.200001,1.735189,58,1,56.599998
0.6,0.4,0.6,1,5.8,NA,0.6,0,27,NA,NA,0.666667,56.666668
0.9,0.45,1,1,6.2,NA,1,0,35.799999,NA,NA,1,54.799999
0.7,0.5,1,0.2,0,829,0,1,NA,NA,55,NA,NA
0.7,0.3,0.9,1,7,NA,1,0,30.799999,NA,NA,1,53.200001
0.6,0.25,0.6,1,9.6,NA,0.6,0,25.4,NA,NA,1,66.333336
1,0.45,1,1,6.4,NA,0.333333,0.166667,33.400002,2.779104,57,1,62
0.5,0.35,1,0,NA,37.400002,NA,NA,NA,NA,NA,NA,NA
0.9,0.35,0.9,1,8.2,NA,0.8,0,30.4,NA,NA,1,53.5
0.8,0.25,0.6,1,8,NA,0.571429,0.428571,28.25,1.665232,57,1,61.75
0.9,0.5,0.8,1,6.4,NA,1,0,33.799999,NA,NA,0.8,57
0.7,0.25,1,1,6.6,NA,1,0,34.799999,NA,NA,1,60.599998
1,0.3,0.5,1,7.2,NA,1,0,31.6,NA,NA,0,69.800003
0.7,0.5,0.7,0.2,25,58,0,1,NA,NA,57,NA,NA
0.6,0.35,0.7,1,9.8,NA,0.833333,0.166667,26.4,1.27011,58,0.8,56.599998
0.5,0.25,0.6,0,NA,42.599998,NA,NA,NA,NA,NA,NA,NA
0.8,0.3,0.6,1,6.8,NA,0.666667,0.166667,31.4,1.14249,56,1,54.75
0.9,0.35,0.5,1,6,NA,1,0,38.599998,NA,NA,0,59.400002
0.6,0.45,0.9,1,8.4,NA,0.8,0,35.400002,NA,NA,0.75,54.75
1,0.5,0.9,1,5.6,NA,0.666667,0.166667,28,2.780684,56,1,54.25
0.6,0.35,0.8,1,6,NA,0.571429,0.285714,25.200001,2.74462,57.5,1,56.75
0.5,0.35,0.6,0.6,11.333333,31.5,0.666667,0,31.666666,NA,NA,1,52
0.7,0.25,0.9,1,7.2,NA,0.5,0.166667,30.200001,2.147181,53,1,57.666668
0.5,0.45,0.7,0.2,12,36.75,0,0,17,NA,NA,NA,NA
0.5,0.5,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.9,0.25,1,1,6.6,NA,1,0,30.200001,NA,NA,1,78
0.7,0.3,0.7,1,8.6,NA,0.666667,0.333333,24.5,1.228669,58,1,72
0.5,0.35,0.5,0.4,12.5,38.333332,0.5,0,14.5,NA,NA,0,54
0.7,0.25,0.5,1,7,NA,0.8,0,31,NA,NA,0,53.5
0.7,0.45,0.7,0.2,11,495.5,0,1,NA,NA,60,NA,NA
0.7,0.4,0.7,0,NA,51.200001,NA,NA,NA,NA,NA,NA,NA
0.5,0.35,0.9,0.6,12.666667,45.5,0.333333,0,18.666666,NA,NA,1,54
0.8,0.3,0.7,1,5.6,NA,0.571429,0.428571,35.5,2.319911,56.333332,1,60
0.5,0.3,0.8,0.8,12.75,31,0.5,0,21.5,NA,NA,1,53
0.7,0.3,0.8,1,8.8,NA,0.571429,0.285714,29.200001,1.463934,59.5,1,64
0.9,0.25,0.6,1,8.4,NA,0.666667,0.166667,19.799999,1.846038,61,1,79
0.9,0.35,0.7,1,6,NA,0.833333,0.166667,38.200001,2.948598,60,1,64.599998
1,0.5,0.6,1,5.6,NA,1,0,39.200001,NA,NA,1,60.400002
0.7,0.35,0.9,1,9,NA,0.6,0,21.200001,NA,NA,1,65.333336
