Time,Light,Floor friction,Object friction,State
0,0.9364503961092842,0.44319896810306647,0.9518440743968622,-1
5,0.9364503961092842,0.44319896810306647,0.9518440743968622,-1
8,0.9364503961092842,0.44319896810306647,0.9518440743968622,-1
10,0.9364503961092842,0.44319896810306647,0.9518440743968622,-1
10,0.9364503961092842,0.44319896810306647,0.9518440743968622,0
15,0.9364503961092842,0.44319896810306647,0.9518440743968622,0
15,0.9364503961092842,0.44319896810306647,0.9518440743968622,0.5
20,0.9364503961092842,0.44319896810306647,0.9518440743968622,0.5
21,0.9364503961092842,0.44319896810306647,0.9518440743968622,1
25,0.9364503961092842,0.44319896810306647,0.9518440743968622,1
30,0.9364503961092842,0.44319896810306647,0.9518440743968622,1
35,0.9364503961092842,0.44319896810306647,0.9518440743968622,1
40,0.9364503961092842,0.44319896810306647,0.9518440743968622,1
45,0.9364503961092842,0.44319896810306647,0.9518440743968622,1
50,0.9364503961092842,0.44319896810306647,0.9518440743968622,1
55,0.9364503961092842,0.44319896810306647,0.9518440743968622,1
60,0.9468206539680258,0.43827357675040557,0.9478831422503166,1
61,0.9468206539680258,0.43827357675040557,0.9478831422503166,2
65,0.9468206539680258,0.43827357675040557,0.9478831422503166,2
70,0.9468206539680258,0.43827357675040557,0.9478831422503166,2
75,0.9468206539680258,0.43827357675040557,0.9478831422503166,2
80,0.9468206539680258,0.43827357675040557,0.9478831422503166,2
85,0.9468206539680258,0.43827357675040557,0.9478831422503166,2
90,0.9468206539680258,0.43827357675040557,0.9478831422503166,2
95,0.9468206539680258,0.43827357675040557,0.9478831422503166,2
100,0.9468206539680258,0.43827357675040557,0.9478831422503166,2
105,0.9468206539680258,0.43827357675040557,0.9478831422503166,2
110,0.9468206539680258,0.43827357675040557,0.9478831422503166,2
115,0.9468206539680258,0.43827357675040557,0.9478831422503166,2
117,0.9468206539680258,0.43827357675040557,0.9478831422503166,4
120,0.9389668569178786,0.4661871163856284,0.9470918276266357,-1
122,0.9389668569178786,0.4661871163856284,0.9470918276266357,-1
124,0.9389668569178786,0.4661871163856284,0.9470918276266357,0
125,0.9389668569178786,0.4661871163856284,0.9470918276266357,0
