light,floor,obj,v,minDist,closeConfig,close,safeclose,robustness,v2,neighSafe
0.9,0.5,0.8,1,0.19999999999999996,"[[0.9, 0.5, 0.9], [1.0, 0.5, 0.7], [0.9, 0.4, 0.8], [1.0, 0.45, 0.8], [1.0, 0.45, 0.9], [0.9, 0.4, 0.9], [0.9, 0.45, 0.7], [0.8, 0.5, 0.7]]",8,2,0.5,1.0,0.25
1.0,0.5,0.5,13,0.19999999999999996,"[[1.0, 0.5, 0.6], [1.0, 0.4, 0.6], [1.0, 0.4, 0.5], [0.9, 0.45, 0.5], [0.9, 0.45, 0.6]]",5,3,0.6,0.0,0.6
0.7,0.45,0.9,0,0.19999999999999996,"[[0.8, 0.45, 1.0], [0.7, 0.45, 0.8], [0.6, 0.45, 0.8], [0.6, 0.45, 0.9], [0.7, 0.4, 1.0], [0.6, 0.35, 0.9], [0.6, 0.5, 0.9], [0.6, 0.5, 0.8], [0.7, 0.35, 0.9], [0.6, 0.4, 0.9], [0.6, 0.4, 0.8], [0.7, 0.35, 0.8], [0.7, 0.5, 1.0]]",13,5,0.6153846153846154,1.0,0.38461538461538464
0.7,0.5,0.7,0,0.19999999999999996,"[[0.7, 0.5, 0.6], [0.7, 0.45, 0.8], [0.7, 0.4, 0.7], [0.7, 0.4, 0.6], [0.8, 0.5, 0.6], [0.6, 0.5, 0.8], [0.8, 0.5, 0.7], [0.8, 0.4, 0.7], [0.8, 0.45, 0.7]]",9,3,0.5555555555555556,1.0,0.3333333333333333
0.5,0.45,0.6,0,0.19999999999999996,"[[0.5, 0.45, 0.7], [0.5, 0.45, 0.5], [0.5, 0.35, 0.6], [0.5, 0.35, 0.7], [0.5, 0.35, 0.5], [0.6, 0.4, 0.6]]",6,2,0.3333333333333333,1.0,0.3333333333333333
0.6,0.3,0.5,13,0.19999999999999996,"[[0.6, 0.3, 0.6], [0.7, 0.4, 0.5], [0.5, 0.3, 0.6], [0.5, 0.25, 0.6], [0.5, 0.35, 0.6], [0.5, 0.3, 0.5], [0.5, 0.35, 0.5], [0.5, 0.25, 0.5], [0.7, 0.25, 0.6], [0.7, 0.35, 0.6], [0.6, 0.4, 0.6]]",11,2,0.36363636363636365,1.0,0.18181818181818182
0.5,0.45,0.7,1,0.19999999999999996,"[[0.5, 0.45, 0.6], [0.5, 0.4, 0.8], [0.5, 0.5, 0.8], [0.6, 0.45, 0.8], [0.5, 0.35, 0.6], [0.5, 0.35, 0.7], [0.6, 0.4, 0.6]]",7,5,0.7142857142857143,0.0,0.7142857142857143
0.8,0.45,1.0,0,0.19999999999999996,"[[0.7, 0.45, 0.9], [0.9, 0.5, 0.9], [0.8, 0.4, 1.0], [0.9, 0.45, 1.0], [0.8, 0.5, 1.0], [0.9, 0.4, 0.9], [0.9, 0.35, 1.0], [0.7, 0.4, 1.0], [0.8, 0.35, 1.0], [0.7, 0.5, 1.0]]",10,6,0.8,0.0,0.6
0.7,0.5,0.6,1,0.19999999999999996,"[[0.7, 0.5, 0.7], [0.7, 0.5, 0.5], [0.7, 0.4, 0.5], [0.7, 0.4, 0.7], [0.7, 0.4, 0.6], [0.8, 0.5, 0.5], [0.8, 0.5, 0.6], [0.8, 0.5, 0.7], [0.8, 0.4, 0.6], [0.8, 0.45, 0.6], [0.6, 0.4, 0.6]]",11,5,0.5454545454545454,1.0,0.45454545454545453
0.7,0.45,0.8,1,0.19999999999999996,"[[0.7, 0.45, 0.9], [0.7, 0.5, 0.7], [0.6, 0.45, 0.8], [0.6, 0.45, 0.9], [0.7, 0.4, 0.7], [0.6, 0.35, 0.8], [0.6, 0.5, 0.9], [0.6, 0.5, 0.8], [0.7, 0.35, 0.9], [0.6, 0.4, 0.9], [0.6, 0.4, 0.8], [0.7, 0.35, 0.8], [0.8, 0.45, 0.7]]",13,7,0.7692307692307693,0.0,0.5384615384615384
