Light value,p1,p2,p3,p4,T1,T1F,T2,T2F,TR,T3,,Floor friction,p1,p2,p3,p4,T1,T1F,T2,T2F,TR,T3,,Object friction,p1,p2,p3,p4,T1,T1F,T2,T2F,TR,T3
0.5,0.8611111111111112  (360),0.5482093663911846  (360),0.14600550964187328  (363),0.8391959798994975  (199),155.88970588235293  (272),348.28  (50),32.15884476534296  (277),59.2906976744186  (86),98.49056603773585  (53),111.82412060301507  (199),,0.15,1.0  (2),0.5  (2),0.0  (2),0.0  (1),155.5  (2),-1.0  (0),29.5  (2),-1.0  (0),-1.0  (0),65.0  (1),,0.5,0.9566326530612245  (392),0.731764705882353  (392),0.11764705882352941  (425),0.10610932475884244  (311),136.2955223880597  (335),350.88235294117646  (17),32.12173913043478  (345),58.975  (80),110.18  (50),52.72990353697749  (311)
0.6,0.9722222222222222  (360),0.5833333333333334  (360),0.14215686274509803  (408),0.7941176470588235  (238),153.91059602649005  (302),356.9  (10),32.45779220779221  (308),59.16  (100),81.44827586206897  (58),53.294117647058826  (238),,0.25,0.9297297297297298  (370),0.6337662337662338  (370),0.10649350649350649  (385),0.7868852459016393  (244),148.66666666666666  (309),360.0769230769231  (26),32.28706624605678  (317),58.5  (68),89.5609756097561  (41),57.10655737704918  (244),,0.6,0.9631578947368421  (380),0.6886792452830188  (380),0.13679245283018868  (424),0.9486301369863014  (292),139.19108280254778  (314),352.7142857142857  (14),32.23262839879154  (331),59.03225806451613  (93),59.06896551724138  (58),53.48972602739726  (292)
0.7,0.975  (360),0.6472081218274112  (360),0.10913705583756345  (394),0.796078431372549  (255),129.77302631578948  (304),360.1111111111111  (9),32.659375  (320),59.41891891891892  (74),55.116279069767444  (43),53.96862745098039  (255),,0.3,0.9651162790697675  (430),0.6257796257796258  (430),0.13721413721413722  (481),0.7740863787375415  (301),143.14824797843667  (371),358.6  (15),31.866666666666667  (375),59.301886792452834  (106),95.42424242424242  (66),56.21594684385382  (301),,0.7,0.9657894736842105  (380),0.7475247524752475  (380),0.09158415841584158  (404),0.9271523178807947  (302),130.11180124223603  (322),353.0769230769231  (13),32.11711711711712  (333),59.605633802816904  (71),53.0  (37),55.15562913907285  (302)
0.8,0.9805555555555555  (360),0.6590330788804071  (360),0.10178117048346055  (393),0.7722007722007722  (259),133.4917491749175  (303),353.0  (7),32.48170731707317  (328),58.90769230769231  (65),70.1  (40),54.74131274131274  (259),,0.35,0.9725  (400),0.6750572082379863  (400),0.10983981693363844  (437),0.7796610169491526  (295),138.141592920354  (339),351.1818181818182  (11),32.443820224719104  (356),59.79012345679013  (81),62.895833333333336  (48),54.735593220338984  (295),,0.8,0.9815789473684211  (380),0.6738095238095239  (380),0.11190476190476191  (420),0.9575971731448764  (283),138.55287009063443  (331),351.0  (7),32.10434782608696  (345),58.68  (75),72.57446808510639  (47),54.36395759717315  (283)
0.9,0.9916666666666667  (480),0.6814671814671814  (480),0.08108108108108109  (518),0.7450424929178471  (353),126.37062937062937  (429),360.0  (4),31.84474885844749  (438),59.0375  (80),65.0952380952381  (42),54.626062322946176  (353),,0.4,0.9777777777777777  (360),0.6984126984126984  (360),0.06878306878306878  (378),0.8068181818181818  (264),126.03908794788273  (307),343.75  (8),32.18042813455658  (327),58.98039215686274  (51),50.03846153846154  (26),52.93939393939394  (264),,0.9,0.9567567567567568  (370),0.5466321243523317  (370),0.08290155440414508  (386),0.9478672985781991  (211),136.1530944625407  (307),354.3125  (16),32.27329192546584  (322),59.75  (64),79.1875  (32),54.644549763033176  (211)
1.0,0.994475138121547  (362),0.6836734693877551  (362),0.08163265306122448  (392),0.7649253731343284  (268),128.429012345679  (324),360.0  (2),31.82941176470588  (340),59.13461538461539  (52),57.625  (32),52.332089552238806  (268),,0.45,0.9694444444444444  (360),0.660574412532637  (360),0.08877284595300261  (383),0.7707509881422925  (253),128.74267100977198  (307),338.90909090909093  (11),32.39318885448916  (323),59.583333333333336  (60),56.470588235294116  (34),96.76284584980237  (253),,1.0,0.9605263157894737  (380),0.4229828850855746  (380),0.10757946210268948  (409),0.9595375722543352  (173),140.56923076923076  (325),349.06666666666666  (15),32.43582089552239  (335),59.108108108108105  (74),64.88636363636364  (44),119.04624277456648  (173)
,,,,,,,,,,,,0.5,0.9694444444444444  (360),0.5323383084577115  (360),0.1318407960199005  (402),0.7663551401869159  (214),134.45150501672242  (299),343.0  (11),32.154340836012864  (311),58.78021978021978  (91),65.77358490566037  (53),49.8177570093458  (214),,,,,,,,,,,,
