time,m1,m2,m3,trend,time2problem,lightOutTypical,floorOutTypical,gripperOutTypical,edgeORboundary,light,floor,gripper
19,0.941222588,0.45358978,0.923139064,same trend,5999999,none,none,gripperOut , ,none,none,none
20,0.946077607,0.446072858,0.921172785,same trend,5999998,none,none,gripperOut ,,none,none,none
21,0.950297731,0.446312124,0.915595455,same trend,5999997,none,none,gripperOut ,,none,none,none
22,0.946530462,0.455324658,0.911723179,same trend,5999996,none,none,gripperOut ,,none,none,none
23,0.953063541,0.447460966,0.907060905,same trend,5999995,none,none,gripperOut ,,none,none,none
24,0.951177304,0.454955995,0.905253394,new trend,75,none,none,gripperOut ,b,none,none,gripper 
25,0.952877419,0.445294356,0.902632033,same trend,74,none,none,gripperOut ,b,none,none,none
26,0.947725039,0.457332754,0.900756268,same trend,73,none,none,gripperOut ,b,none,none,none
27,0.955524449,0.458021044,0.897893891,same trend,72,none,none,gripperOut ,b,none,none,none
28,0.939300179,0.448839283,0.893961279,same trend,71,none,none,gripperOut ,b,none,none,none
29,0.952225489,0.459625552,0.891090362,same trend,70,none,none,gripperOut ,b,none,none,none
30,0.956015075,0.453414265,0.887885223,same trend,69,none,none,gripperOut ,b,none,none,none
31,0.949248675,0.443749836,0.885933268,same trend,68,none,none,gripperOut ,b,none,none,none
32,0.948802496,0.463177435,0.883217548,same trend,67,none,none,gripperOut ,b,none,none,none
33,0.947633517,0.447497567,0.879498421,same trend,66,none,none,gripperOut ,b,none,none,none
34,0.956376735,0.451772365,0.874497323,same trend,65,none,none,gripperOut ,b,none,none,none
35,0.954872369,0.445266584,0.87231417,same trend,64,none,none,gripperOut ,b,none,none,none
36,0.950075297,0.457965104,0.869318738,same trend,63,none,none,gripperOut ,b,none,none,none
37,0.953396891,0.452380149,0.865857117,same trend,62,none,none,gripperOut ,b,none,none,none
38,0.94537143,0.454002456,0.862373084,same trend,61,none,none,gripperOut ,b,none,none,none
39,0.949066741,0.453634761,0.85831981,same trend,60,none,none,gripperOut ,b,none,none,none
40,0.952072005,0.455886007,0.855237516,same trend,59,none,none,gripperOut ,b,none,none,none
41,0.934094647,0.451386953,0.851898705,same trend,58,none,none,gripperOut ,b,none,none,none
42,0.954565634,0.44807324,0.848973817,same trend,57,none,none,gripperOut ,b,none,none,none
43,0.953628876,0.448695799,0.845029815,same trend,56,none,none,gripperOut ,b,none,none,none
44,0.964550393,0.454688316,0.842135444,same trend,55,none,none,gripperOut ,b,none,none,none
45,0.950648563,0.437328039,0.838337623,same trend,54,none,none,gripperOut ,b,none,none,none
46,0.946965773,0.446645776,0.835220261,same trend,53,none,none,gripperOut ,b,none,none,none
47,0.943547058,0.446316421,0.831875493,same trend,52,none,none,gripperOut ,b,none,none,none
48,0.947196391,0.443390619,0.827806249,same trend,51,none,none,gripperOut ,b,none,none,none
49,0.943397292,0.456880146,0.82394132,same trend,50,none,none,gripperOut ,b,none,none,none
50,0.94525088,0.442345362,0.81992234,same trend,49,none,none,gripperOut ,b,none,none,none
51,0.949782163,0.455144246,0.816613339,same trend,48,none,none,gripperOut ,b,none,none,none
52,0.942373739,0.447905006,0.814094427,same trend,47,none,none,gripperOut ,b,none,none,none
53,0.951426323,0.457833126,0.812159293,same trend,46,none,none,gripperOut ,b,none,none,none
54,0.953763441,0.451022314,0.808857972,same trend,45,none,none,gripperOut ,b,none,none,none
55,0.942650864,0.450241238,0.806637462,same trend,44,none,none,gripperOut ,b,none,none,none
56,0.945369006,0.458920191,0.803186362,same trend,43,none,none,gripperOut ,b,none,none,none
57,0.948799418,0.448837248,0.800342106,same trend,42,none,none,gripperOut ,b,none,none,none
58,0.951983167,0.454918626,0.797814714,same trend,41,none,none,gripperOut ,b,none,none,none
59,0.950818304,0.443630859,0.79472012,same trend,40,none,none,gripperOut ,b,none,none,none
60,0.958438224,0.456904267,0.790870628,same trend,39,none,none,gripperOut ,b,none,none,none
61,0.947372203,0.453931361,0.785308416,same trend,38,none,none,gripperOut ,b,none,none,none
62,0.953128492,0.454518715,0.783344906,same trend,37,none,none,gripperOut ,b,none,none,none
63,0.950949794,0.451641823,0.779319732,same trend,36,none,none,gripperOut ,b,none,none,none
64,0.95508233,0.448288501,0.776328921,same trend,35,none,none,gripperOut ,b,none,none,none
65,0.945286285,0.445112877,0.772810805,same trend,34,none,none,gripperOut ,b,none,none,none
66,0.944214087,0.442555861,0.771281388,same trend,33,none,none,gripperOut ,b,none,none,none
67,0.947083858,0.447218073,0.768919585,same trend,32,none,none,gripperOut ,b,none,none,none
68,0.952243473,0.453454683,0.765981868,same trend,31,none,none,gripperOut ,b,none,none,none
69,0.938393843,0.441535641,0.763071802,same trend,30,none,none,gripperOut ,b,none,none,none
70,0.956940983,0.442641112,0.760194139,same trend,29,none,none,gripperOut ,b,none,none,none
71,0.950997459,0.456351405,0.757387634,same trend,28,none,none,gripperOut ,b,none,none,none
72,0.948022991,0.452496031,0.755892229,same trend,27,none,none,gripperOut ,b,none,none,none
73,0.950333185,0.444261522,0.752453312,same trend,26,none,none,gripperOut ,b,none,none,none
74,0.943172829,0.454744696,0.748672268,same trend,25,none,none,gripperOut ,b,none,none,none
75,0.945455307,0.4461019,0.749068833,same trend,24,none,none,gripperOut ,b,none,none,none
76,0.952794083,0.453608176,0.745473603,same trend,23,none,none,gripperOut ,b,none,none,none
77,0.940435997,0.446486279,0.741940951,same trend,22,none,none,gripperOut ,b,none,none,none
78,0.947405145,0.450997349,0.737669279,same trend,21,none,none,gripperOut ,b,none,none,none
79,0.946003749,0.456455665,0.73497536,same trend,20,none,none,gripperOut ,b,none,none,none
80,0.953430035,0.447822024,0.73225358,same trend,19,none,none,gripperOut ,b,none,none,none
81,0.958371771,0.446324659,0.728350814,same trend,18,none,none,gripperOut ,b,none,none,none
82,0.953735617,0.453446877,0.725506796,same trend,17,none,none,gripperOut ,b,none,none,none
83,0.95151678,0.450342649,0.721640674,same trend,16,none,none,gripperOut ,b,none,none,none
84,0.950899438,0.452651552,0.717065345,same trend,15,none,none,gripperOut ,b,none,none,none
85,0.948095771,0.454154447,0.714524384,same trend,14,none,none,gripperOut ,b,none,none,none
86,0.941183967,0.450063262,0.709421686,same trend,13,none,none,gripperOut ,b,none,none,none
87,0.933621084,0.447352993,0.707446652,same trend,12,none,none,gripperOut ,b,none,none,none
