file:csv_files/outcome_0.7_0.5_0.5.csv,,p1:1.00,,T1:144.00,,T1F:NoData,,p2:1.00,,p3:0.00,,T2:32.30,,TR:NoData,,T2F:NoData,,p4:0.10,,T3:56.00,,
file:csv_files/outcome_0.8_0.35_0.6.csv,,p1:1.00,,T1:151.10,,T1F:NoData,,p2:0.80,,p3:0.00,,T2:28.10,,TR:NoData,,T2F:NoData,,p4:1.00,,T3:49.62,,
file:csv_files/outcome_0.8_0.25_0.6.csv,,p1:1.00,,T1:55.40,,T1F:NoData,,p2:0.82,,p3:0.09,,T2:36.10,,TR:21.00,,T2F:62.00,,p4:0.89,,T3:54.00,,
file:csv_files/outcome_1.0_0.4_0.6.csv,,p1:1.00,,T1:129.50,,T1F:NoData,,p2:1.00,,p3:0.00,,T2:32.80,,TR:NoData,,T2F:NoData,,p4:0.90,,T3:53.44,,
file:csv_files/outcome_0.9_0.45_1.0.csv,,p1:1.00,,T1:132.50,,T1F:NoData,,p2:0.50,,p3:0.00,,T2:14.50,,TR:NoData,,T2F:NoData,,p4:1.00,,T3:47.80,,
file:csv_files/outcome_0.8_0.5_1.0.csv,,p1:1.00,,T1:80.90,,T1F:NoData,,p2:0.10,,p3:0.00,,T2:3.00,,TR:NoData,,T2F:NoData,,p4:1.00,,T3:42.00,,
file:csv_files/outcome_0.5_0.5_0.8.csv,,p1:0.80,,T1:121.25,,T1F:348.00,,p2:0.00,,p3:0.22,,T2:7.29,,TR:19.00,,T2F:57.50,,p4:NoData,,T3:NoData,,
file:csv_files/outcome_0.9_0.35_0.5.csv,,p1:1.00,,T1:108.20,,T1F:NoData,,p2:1.00,,p3:0.00,,T2:32.90,,TR:NoData,,T2F:NoData,,p4:0.00,,T3:NoData,,
file:csv_files/outcome_0.9_0.25_0.5.csv,,p1:1.00,,T1:120.30,,T1F:NoData,,p2:0.90,,p3:0.00,,T2:30.00,,TR:NoData,,T2F:NoData,,p4:0.00,,T3:NoData,,
file:csv_files/outcome_0.6_0.45_0.8.csv,,p1:1.00,,T1:108.10,,T1F:NoData,,p2:0.60,,p3:0.10,,T2:21.11,,TR:NoData,,T2F:58.00,,p4:1.00,,T3:57.17,,
file:csv_files/outcome_0.6_0.45_0.9.csv,,p1:1.00,,T1:130.00,,T1F:NoData,,p2:0.45,,p3:0.18,,T2:16.33,,TR:70.00,,T2F:61.50,,p4:1.00,,T3:49.40,,
file:csv_files/outcome_0.5_0.5_0.9.csv,,p1:0.80,,T1:164.62,,T1F:314.50,,p2:0.44,,p3:0.11,,T2:14.88,,TR:37.00,,T2F:57.00,,p4:0.75,,T3:50.67,,
file:csv_files/outcome_0.7_0.4_0.5.csv,,p1:1.00,,T1:116.00,,T1F:NoData,,p2:1.00,,p3:0.00,,T2:32.30,,TR:NoData,,T2F:NoData,,p4:0.30,,T3:56.67,,
file:csv_files/outcome_1.0_0.4_0.7.csv,,p1:1.00,,T1:107.90,,T1F:NoData,,p2:0.90,,p3:0.00,,T2:27.50,,TR:NoData,,T2F:NoData,,p4:1.00,,T3:51.11,,
file:csv_files/outcome_0.7_0.4_0.7.csv,,p1:1.00,,T1:73.00,,T1F:NoData,,p2:0.90,,p3:0.00,,T2:28.60,,TR:NoData,,T2F:NoData,,p4:1.00,,T3:53.56,,
file:csv_files/outcome_1.0_0.4_0.5.csv,,p1:1.00,,T1:101.70,,T1F:NoData,,p2:0.90,,p3:0.10,,T2:29.33,,TR:NoData,,T2F:60.00,,p4:0.00,,T3:NoData,,
file:csv_files/outcome_0.9_0.4_0.8.csv,,p1:1.00,,T1:126.00,,T1F:NoData,,p2:0.64,,p3:0.18,,T2:25.56,,TR:29.00,,T2F:60.00,,p4:0.86,,T3:50.83,,
file:csv_files/outcome_1.0_0.45_0.8.csv,,p1:1.00,,T1:152.00,,T1F:NoData,,p2:0.80,,p3:0.00,,T2:22.70,,TR:NoData,,T2F:NoData,,p4:0.75,,T3:45.33,,
file:csv_files/outcome_0.9_0.25_0.6.csv,,p1:1.00,,T1:132.30,,T1F:NoData,,p2:0.80,,p3:0.10,,T2:27.22,,TR:NoData,,T2F:58.00,,p4:0.88,,T3:59.86,,
file:csv_files/outcome_0.9_0.35_0.6.csv,,p1:1.00,,T1:160.30,,T1F:NoData,,p2:0.60,,p3:0.20,,T2:23.00,,TR:NoData,,T2F:60.50,,p4:1.00,,T3:51.17,,
file:csv_files/outcome_0.9_0.3_1.0.csv,,p1:1.00,,T1:155.90,,T1F:NoData,,p2:0.50,,p3:0.00,,T2:16.60,,TR:NoData,,T2F:NoData,,p4:1.00,,T3:56.60,,
file:csv_files/outcome_0.9_0.35_0.7.csv,,p1:1.00,,T1:138.90,,T1F:NoData,,p2:0.90,,p3:0.10,,T2:30.89,,TR:NoData,,T2F:63.00,,p4:1.00,,T3:49.33,,
file:csv_files/outcome_0.9_0.25_0.7.csv,,p1:0.90,,T1:80.78,,T1F:360.00,,p2:1.00,,p3:0.00,,T2:31.11,,TR:NoData,,T2F:NoData,,p4:0.89,,T3:54.00,,
file:csv_files/outcome_1.0_0.45_0.9.csv,,p1:1.00,,T1:128.80,,T1F:NoData,,p2:0.90,,p3:0.00,,T2:31.10,,TR:NoData,,T2F:NoData,,p4:0.89,,T3:55.00,,
file:csv_files/outcome_0.9_0.4_0.9.csv,,p1:1.00,,T1:63.60,,T1F:NoData,,p2:0.60,,p3:0.00,,T2:16.40,,TR:NoData,,T2F:NoData,,p4:0.83,,T3:51.40,,
file:csv_files/outcome_0.7_0.4_0.6.csv,,p1:1.00,,T1:93.10,,T1F:NoData,,p2:0.18,,p3:0.36,,T2:12.57,,TR:16.00,,T2F:57.50,,p4:1.00,,T3:181.50,,
file:csv_files/outcome_0.9_0.3_0.6.csv,,p1:0.90,,T1:144.67,,T1F:360.00,,p2:0.57,,p3:0.43,,T2:31.88,,TR:94.40,,T2F:58.33,,p4:1.00,,T3:49.62,,
file:csv_files/outcome_0.7_0.3_0.9.csv,,p1:1.00,,T1:123.90,,T1F:NoData,,p2:0.70,,p3:0.10,,T2:23.11,,TR:NoData,,T2F:63.00,,p4:1.00,,T3:48.57,,
file:csv_files/outcome_0.9_0.35_1.0.csv,,p1:1.00,,T1:148.90,,T1F:NoData,,p2:0.50,,p3:0.10,,T2:17.67,,TR:NoData,,T2F:58.00,,p4:1.00,,T3:52.60,,
file:csv_files/outcome_0.9_0.25_1.0.csv,,p1:1.00,,T1:136.60,,T1F:NoData,,p2:0.29,,p3:0.43,,T2:17.25,,TR:57.00,,T2F:57.83,,p4:1.00,,T3:52.00,,
file:csv_files/outcome_0.8_0.5_0.5.csv,,p1:1.00,,T1:156.50,,T1F:NoData,,p2:0.75,,p3:0.17,,T2:28.40,,TR:77.50,,T2F:58.00,,p4:0.11,,T3:48.00,,
file:csv_files/outcome_0.6_0.25_0.8.csv,,p1:0.90,,T1:164.33,,T1F:360.00,,p2:0.78,,p3:0.00,,T2:26.22,,TR:NoData,,T2F:NoData,,p4:1.00,,T3:52.57,,
file:csv_files/outcome_0.6_0.35_0.8.csv,,p1:1.00,,T1:133.70,,T1F:NoData,,p2:0.75,,p3:0.17,,T2:33.20,,TR:68.50,,T2F:58.50,,p4:1.00,,T3:53.89,,
file:csv_files/outcome_0.9_0.45_0.5.csv,,p1:1.00,,T1:71.30,,T1F:NoData,,p2:1.00,,p3:0.00,,T2:33.20,,TR:NoData,,T2F:NoData,,p4:0.00,,T3:NoData,,
file:csv_files/outcome_0.7_0.4_1.0.csv,,p1:1.00,,T1:159.70,,T1F:NoData,,p2:0.70,,p3:0.00,,T2:22.40,,TR:NoData,,T2F:NoData,,p4:1.00,,T3:49.00,,
file:csv_files/outcome_0.6_0.35_0.9.csv,,p1:1.00,,T1:136.70,,T1F:NoData,,p2:0.58,,p3:0.33,,T2:26.88,,TR:48.50,,T2F:58.25,,p4:1.00,,T3:51.43,,
file:csv_files/outcome_0.6_0.25_0.9.csv,,p1:0.90,,T1:198.78,,T1F:360.00,,p2:0.67,,p3:0.11,,T2:22.00,,TR:NoData,,T2F:58.00,,p4:1.00,,T3:62.83,,
file:csv_files/outcome_0.7_0.3_0.8.csv,,p1:1.00,,T1:74.50,,T1F:NoData,,p2:0.90,,p3:0.00,,T2:27.80,,TR:NoData,,T2F:NoData,,p4:1.00,,T3:54.44,,
file:csv_files/outcome_0.9_0.3_0.7.csv,,p1:1.00,,T1:181.30,,T1F:NoData,,p2:0.90,,p3:0.00,,T2:26.30,,TR:NoData,,T2F:NoData,,p4:0.89,,T3:52.25,,
file:csv_files/outcome_0.9_0.3_0.5.csv,,p1:1.00,,T1:152.60,,T1F:NoData,,p2:0.80,,p3:0.10,,T2:26.67,,TR:NoData,,T2F:58.00,,p4:0.12,,T3:63.00,,
file:csv_files/outcome_1.0_0.3_0.8.csv,,p1:1.00,,T1:127.80,,T1F:NoData,,p2:1.00,,p3:0.00,,T2:30.50,,TR:NoData,,T2F:NoData,,p4:1.00,,T3:47.90,,
file:csv_files/outcome_0.8_0.5_0.6.csv,,p1:0.90,,T1:174.44,,T1F:311.00,,p2:1.00,,p3:0.00,,T2:31.33,,TR:NoData,,T2F:NoData,,p4:1.00,,T3:48.78,,
